ExperimentName,Subject,Age,Handedness,Sex,Block,Bed,corr[Block],form[Block],Procedure[Block],Match,corr[Trial],form[Trial],Label[Trial],MT4.ACC,MT4.RT,Procedure,ACC,RT,target,Identity,Slide2.ACC,Slide2.RT,PrimeAss
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,triangle.png,Mutter,0,349,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,1,497,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,circle.png,Mutter,1,367,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,1,346,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,0,430,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,square.png,Bekannter,1,455,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,1,311,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,circle.png,Ich,1,397,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,343,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,square.png,Ich,0,340,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,432,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,29,,,,RP,comp,,,,,,RPproc,1,354,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,29,,,,RP,comp,,,,,,RPproc,0,315,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,464,circle.png,Bekannter,,,Mutter
RP_Personenaufg,1,19,right,female,29,,,,RP,comp,,,,,,RPproc,1,316,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,432,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,358,triangle.png,Ich,,,Mutter
RP_Personenaufg,1,19,right,female,29,,,,RP,comp,,,,,,RPproc,1,288,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,29,,,,RP,comp,,,,,,RPproc,1,277,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,402,triangle.png,Ich,,,Bekannter
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,626,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,424,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,29,,,,RP,comp,,,,,,RPproc,1,263,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,0,381,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,29,,,,RP,incomp,,,,,,RPproc,1,558,circle.png,Bekannter,,,Mutter
