Participant #,Trial Type,Target Label,Shape Association,Target Accuracy,Reponse Time
9,Nonmatching,FRIEND,Self,1,382
9,Matching,FRIEND,Friend,1,557
9,Matching,YOU,Self,0,588
9,Nonmatching,FRIEND,Self,1,762
9,Matching,FRIEND,Friend,1,542
9,Matching,YOU,Self,1,820
9,Nonmatching,YOU,Friend,1,983
9,Matching,FRIEND,Friend,1,805
9,Matching,YOU,Self,1,612
9,Nonmatching,FRIEND,Self,1,692
9,Matching,YOU,Self,1,588
9,Nonmatching,YOU,Friend,1,578
9,Matching,YOU,Self,1,489
9,Matching,FRIEND,Friend,0,553
9,Nonmatching,YOU,Friend,0,495
9,Matching,YOU,Self,1,649
