#TIME RESPONSE CND
1.0658 1 134
0.6835 0 134
0.7112 1 134
0.8427 1 134
0.8421 0 134
0.7047 0 134
0.9819 0 134
0.6719 1 134
0.7078 1 134
0.5965 1 134
0.7465 1 134
0.6955 1 134
0.9714 1 134
0.7641 1 134
0.8366 1 134
0.6847 1 134
0.8279 1 134
0.7056 1 134
0.7946 0 134
0.5705 1 134
0.4923 0 134
0.6093 0 134
0.7788 1 134
0.4189 1 134
0.752 1 134
0.7459 0 134
0.4485 1 134
0.4992 0 134
0.5958 0 134
0.6206 1 134
0.7543 1 134
0.4684 0 134
0.9228 1 134
0.7156 1 134
0.5847 0 134
0.5544 1 134
0.6246 1 134
0.5394 1 134
0.5386 1 134
0.7201 1 134
0.7403 1 134
0.5794 1 134
0.7047 0 134
0.6669 1 134
0.5689 1 134
0.7119 1 134
0.7701 1 134
0.698 1 214
0.6268 1 214
0.418 1 214
0.6805 1 214
0.5882 1 214
0.663 1 214
0.7699 1 214
0.5937 1 214
0.7274 1 214
0.8557 1 214
0.8139 1 214
0.7258 1 214
0.7538 1 214
0.6933 1 214
0.6315 1 214
0.5092 1 214
0.341 1 214
0.5112 1 214
0.6324 0 214
0.5569 1 214
0.6474 0 214
0.8947 1 214
0.704 1 214
0.6501 1 214
0.7049 1 214
0.7672 1 214
0.7407 1 214
0.5852 1 214
0.9379 1 214
0.5285 1 214
0.5193 1 214
0.7348 1 214
0.7041 1 214
0.8171 1 214
0.6829 1 214
0.5118 1 214
0.7484 1 214
0.594 1 214
0.7044 0 214
0.5937 1 214
0.5998 1 214
0.6642 1 214
0.6822 1 214
0.8687 1 214
0.736 1 214
0.7792 1 214
0.7944 1 214
0.77 1 214
0.6611 1 214
0.7531 0 214
1.0136 1 214
0.7562 1 214
0.5281 1 214
0.6536 1 214
0.6065 1 214
0.8442 0 214
0.5412 0 214
0.7895 0 214
0.5676 1 224
0.7401 0 224
0.8309 0 224
0.807 1 224
0.7592 1 224
0.6751 1 224
0.8993 0 224
0.6423 1 224
0.7572 0 224
0.7464 1 224
0.7087 1 224
0.6428 1 224
0.6782 1 224
0.7346 1 224
0.7028 1 224
0.6356 1 224
0.6652 1 224
0.8889 0 224
0.7288 1 224
0.6634 1 224
0.7553 1 224
0.6646 1 224
0.8004 1 224
0.649 1 224
0.6937 1 224
0.6665 1 224
0.6693 1 224
0.9843 1 224
0.7584 1 224
0.6476 0 224
0.4275 1 224
0.6575 1 224
0.7037 1 224
0.5435 0 224
0.7878 0 224
0.4189 1 224
0.7242 1 224
0.9171 1 224
0.7303 1 224
0.5702 1 224
0.997 1 224
0.9301 1 224
0.76 0 224
0.6075 1 224
0.7319 1 224
0.5558 1 224
0.8235 1 224
0.6271 1 224
0.7046 1 224
0.7413 1 224
1.0053 1 224
0.7755 1 224
1.033 1 224
0.8243 1 224
0.8464 0 224
0.6209 1 224
0.5924 1 224
1.023 0 234
0.6003 1 234
0.5842 1 234
0.6067 1 234
0.6064 1 234
0.5479 0 234
0.7338 1 234
0.6967 1 234
0.9065 0 234
0.6103 1 234
0.7329 0 234
0.9245 1 234
0.8768 1 234
0.6974 1 234
0.6357 1 234
0.5077 1 234
0.6716 1 234
0.5822 1 234
0.6719 1 234
0.5853 1 234
0.8593 1 234
0.7159 1 234
0.7576 1 234
0.6552 1 234
0.7483 1 234
0.4451 1 234
0.8005 1 234
0.7163 1 234
0.5956 1 234
0.5734 1 234
0.9319 1 234
0.6633 1 234
0.6667 1 234
0.7623 1 234
0.7584 1 234
0.5611 1 234
0.5222 1 234
0.6162 1 234
0.6724 1 234
0.6509 1 234
0.6417 1 234
0.5932 1 234
0.6342 1 234
0.5619 0 234
0.5863 1 234
0.7804 1 234
0.6069 1 234
0.7274 0 234
0.5788 1 234
0.4157 1 234
0.9308 1 234
0.7997 1 234
0.5218 1 234
0.8345 1 234
0.807 1 115
0.8358 1 115
0.4451 0 115
0.896 1 115
0.6438 1 115
0.8084 1 115
0.7782 0 115
0.4947 1 115
0.6799 1 115
0.6396 1 115
0.6817 1 115
0.8636 1 115
0.7901 0 115
0.5675 1 115
0.5859 1 115
0.6613 1 115
0.5546 1 115
0.4826 0 115
0.8909 0 115
0.8551 1 115
0.9389 1 115
0.6957 1 115
0.5827 1 115
0.5335 1 115
0.5236 1 115
0.593 0 115
0.6127 1 115
0.5959 0 115
0.6667 1 115
0.5143 0 115
0.7522 1 115
0.5949 1 115
0.7395 1 115
0.9382 1 115
0.7227 1 115
0.8361 1 115
0.5314 1 115
0.5887 0 115
0.6141 0 115
0.7745 1 115
0.7162 1 115
0.6193 1 115
0.7073 0 115
0.5311 1 115
0.5889 0 115
0.7781 1 115
0.9131 1 115
0.48 1 115
0.735 1 115
1.0082 0 115
0.9905 1 115
0.56 1 115
0.6894 1 115
0.5872 1 115
0.5384 0 115
1.0245 1 125
0.7343 1 125
0.6611 1 125
0.6231 1 125
0.8478 1 125
0.7233 1 125
0.7855 1 125
0.7319 1 125
0.5148 1 125
0.7061 1 125
0.3946 1 125
0.6413 1 125
0.675 1 125
0.676 1 125
0.8009 0 125
0.4659 1 125
0.7763 1 125
0.5479 1 125
0.7816 0 125
0.5445 0 125
0.6897 0 125
0.7743 1 125
0.8038 1 125
0.9738 1 125
0.8004 1 125
0.8043 1 125
0.4438 0 125
0.7685 0 125
0.8538 0 125
0.7685 1 125
0.5239 1 125
0.5097 1 125
0.8767 1 125
0.5713 0 125
0.4189 1 125
0.5267 1 125
0.7649 1 125
0.7288 1 125
0.7715 1 125
0.9228 1 125
0.8078 1 125
0.6619 1 125
0.7145 1 125
0.6278 0 125
0.6533 1 125
0.8503 1 125
0.8725 1 125
0.7054 1 125
0.7623 1 125
0.5893 0 125
0.6806 1 125
0.6608 1 125
0.7386 1 125
0.5618 1 125
0.5324 0 125
0.8165 1 135
0.7657 1 135
0.9391 1 135
0.794 1 135
0.5251 1 135
0.6019 0 135
0.6424 1 135
0.797 1 135
0.7892 1 135
0.6823 1 135
0.7395 0 135
0.7638 1 135
0.7494 1 135
0.6626 1 135
0.7584 0 135
0.7156 1 135
0.9257 1 135
0.7043 1 135
0.7251 1 135
0.736 1 135
0.5739 1 135
0.4882 1 135
0.5985 0 135
0.8583 1 135
0.6857 1 135
0.5747 0 135
0.8516 0 135
1.0581 1 135
0.6912 1 135
0.6948 1 135
0.5684 1 135
0.6937 1 135
0.7564 1 135
0.7059 1 135
0.5784 1 135
0.8589 1 135
0.6718 1 135
0.4634 1 135
0.51 1 135
0.7912 1 135
0.97 1 135
0.6267 1 135
0.8261 1 135
0.7646 1 135
0.828 1 135
0.6448 1 135
0.5493 1 135
1.02 1 135
0.7621 1 135
0.7193 1 135
0.6819 0 135
0.5064 1 135
0.7632 1 135
0.7013 1 135
0.4686 1 135
0.9112 1 135
0.5957 1 135
0.9563 1 135
0.6271 1 135
0.7648 1 135
0.7049 1 215
0.7849 1 215
0.7369 1 215
0.7399 0 215
0.6317 0 215
1.0058 1 215
0.6615 0 215
0.7118 1 215
0.8119 1 215
0.5771 1 215
0.7068 1 215
0.9087 1 215
0.8547 0 215
0.6147 1 215
0.7275 1 215
0.7483 1 215
0.6799 1 215
0.5167 1 215
0.8873 1 215
0.9732 1 215
0.6252 1 215
0.4846 0 215
0.5345 1 215
0.7359 1 215
0.6588 1 215
1.0173 1 215
1.031 1 215
0.817 1 215
0.7693 1 215
0.7717 0 215
0.9578 0 215
0.5634 1 215
0.5677 0 215
0.6741 1 215
0.7336 1 215
0.8956 1 215
0.6251 1 215
0.6684 0 215
0.6392 1 215
0.8481 1 215
0.6931 1 215
0.7106 1 215
0.5308 1 215
0.6083 1 215
0.7135 1 215
0.6396 1 215
