Indice,Method,r,Target,Paper_ID
ezDDM: z,Permuted,-0.23555,Friend,Pn13E4
RT,First-Second,0.56435,Stranger,Pn13E4
RT,Odd-Even,0.42274,Stranger,Pn13E4
RT,Permuted,0.22296,Stranger,Pn13E4
ACC,First-Second,0.03353,Stranger,Pn13E4
ACC,Odd-Even,0.56498,Stranger,Pn13E4
ACC,Permuted,-0.09135,Stranger,Pn13E4
Dprime,First-Second,-0.13151,Stranger,Pn13E4
Dprime,Odd-Even,0.25748,Stranger,Pn13E4
Dprime,Permuted,-0.14484,Stranger,Pn13E4
Efficiency,First-Second,0.1458,Stranger,Pn13E4
Efficiency,Odd-Even,0.1823,Stranger,Pn13E4
Efficiency,Permuted,0.01344,Stranger,Pn13E4
ezDDM: v,First-Second,0.00801,Stranger,Pn13E4
ezDDM: v,Odd-Even,0.63744,Stranger,Pn13E4
ezDDM: v,Permuted,0.14218,Stranger,Pn13E4
ezDDM: z,First-Second,0.01718,Stranger,Pn13E4
ezDDM: z,Odd-Even,0.30015,Stranger,Pn13E4
ezDDM: z,Permuted,-0.1559,Stranger,Pn13E4
RT,First-Second,-0.17309,Friend,Pn16E1
RT,Odd-Even,0.26439,Friend,Pn16E1
RT,Permuted,0.21925,Friend,Pn16E1
ACC,First-Second,0.34497,Friend,Pn16E1
ACC,Odd-Even,0.45657,Friend,Pn16E1
ACC,Permuted,0.58404,Friend,Pn16E1
Dprime,First-Second,0.03049,Friend,Pn16E1
Dprime,Odd-Even,0.50626,Friend,Pn16E1
Dprime,Permuted,0.45841,Friend,Pn16E1
Efficiency,First-Second,-0.10819,Friend,Pn16E1
Efficiency,Odd-Even,0.15913,Friend,Pn16E1
Efficiency,Permuted,0.19936,Friend,Pn16E1
ezDDM: v,First-Second,0.25882,Friend,Pn16E1
ezDDM: v,Odd-Even,0.47783,Friend,Pn16E1
ezDDM: v,Permuted,0.53385,Friend,Pn16E1
ezDDM: z,First-Second,0.43931,Friend,Pn16E1
ezDDM: z,Odd-Even,0.24034,Friend,Pn16E1
ezDDM: z,Permuted,0.07386,Friend,Pn16E1
RT,First-Second,-0.00251,Friend,Pn16E2
RT,Odd-Even,0.78172,Friend,Pn16E2
RT,Permuted,0.72464,Friend,Pn16E2
ACC,First-Second,-0.17558,Friend,Pn16E2
ACC,Odd-Even,0.77883,Friend,Pn16E2
ACC,Permuted,0.3583,Friend,Pn16E2
Dprime,First-Second,-0.52416,Friend,Pn16E2
Dprime,Odd-Even,0.47717,Friend,Pn16E2
Dprime,Permuted,0.40478,Friend,Pn16E2
Efficiency,First-Second,-0.26524,Friend,Pn16E2
Efficiency,Odd-Even,0.23594,Friend,Pn16E2
Efficiency,Permuted,0.17561,Friend,Pn16E2
ezDDM: v,First-Second,-0.20891,Friend,Pn16E2
ezDDM: v,Odd-Even,0.75584,Friend,Pn16E2
ezDDM: v,Permuted,0.43036,Friend,Pn16E2
ezDDM: z,First-Second,0.00777,Friend,Pn16E2
ezDDM: z,Odd-Even,0.0794,Friend,Pn16E2
ezDDM: z,Permuted,0.12587,Friend,Pn16E2
RT,First-Second,0.20446,Friend,Pn16E3
RT,Odd-Even,0.71056,Friend,Pn16E3
RT,Permuted,0.67619,Friend,Pn16E3
ACC,First-Second,-0.03399,Friend,Pn16E3
ACC,Odd-Even,0.9826,Friend,Pn16E3
ACC,Permuted,0.79845,Friend,Pn16E3
Dprime,First-Second,-0.2364,Friend,Pn16E3
Dprime,Odd-Even,0.97959,Friend,Pn16E3
