"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"212","Close","rwDDM v","P95E2",0.536831574726216,18,60,"Woźniak et al.",2018,2
"213","Close","rwDDM v","Ps3E1",0.541470940901282,24,40,"Sui (unpublished)",2014,1
"214","Close","rwDDM v","Ps4E1",0.635450873775314,20,40,"Sui (unpublished)",2015,1
"215","Close","rwDDM v","Ps4E2",0.0277002179204592,21,40,"Sui (unpublished)",2015,2
"216","Close","rwDDM v","Ps5E1",0.132579787339594,24,60,"Sui et al.",2014,1
"217","Close","rwDDM v","Ps5E2",0.206284112577003,18,60,"Sui et al.",2014,2
"218","Close","rwDDM v","Ps5E3",0.874337515224615,22,60,"Sui et al.",2014,3
"219","Close","rwDDM v","Ps5E4",1.11569220020416,20,60,"Sui et al.",2014,4
"220","Close","rwDDM v","Pt2E1",0.391339998934032,142,20,"Hobbs et al.",2023,1
"221","Close","rwDDM v","Pt3E1",0.479144947519138,108,60,"Liang et al.",2021,1
"222","Close","rwDDM v","Pt9E1",0.0480457531257852,18,60,"Woźniak & Knoblich",2022,1
"223","Close","rwDDM v","Pt9E2",0.210729783495658,18,60,"Woźniak & Knoblich",2022,2
"224","Close","rwDDM v","Pt9E3",-0.0165688788688418,18,60,"Woźniak & Knoblich",2022,3
"225","Close","rwDDM v","Pt18E1",0.71285245782128,20,160,"Sui et al.",2023,1
"226","Close","rwDDM v","P19E1",1.00745067807857,17,60,"Bukowski et al.",2021,1
"227","Close","rwDDM v","P19E2",1.22166019449887,34,60,"Bukowski et al.",2021,2
"228","Close","rwDDM v","P34E1",-0.135477826998402,29,12,"Kolvoort et al.",2020,1
"229","Close","rwDDM v","Pt27E1",0.664973347962109,32,40,"Martínez-Pérez et al.",2024,2
"230","Close","rwDDM v","Pt13E1",0.34253136809159,46,20,"Feldborg et al.",2021,1
"231","Close","rwDDM v","Pt28E1",0.725163192809869,30,60,"Amodeo et al.",2024,1
"232","Close","rwDDM z","P0E1",0.043947595056215,33,60,"Hu et al.",2023,1
"233","Close","rwDDM z","P6E1",-0.068464770634531,46,20,"Constable & Knoblich",2020,1
"234","Close","rwDDM z","P54E1",-0.353286135788571,31,18,"Schäfer & Frings",2019,1
"235","Close","rwDDM z","P54E3",0.0179610499467104,33,24,"Schäfer & Frings",2019,3
"236","Close","rwDDM z","Pn4E1",-0.534752624804851,29,30,"Golubickis & Macrae",2021,1
"237","Close","rwDDM z","Pn13E1",-0.0228119855150886,13,60,"Navon & Makovski",2021,1
"238","Close","rwDDM z","Pn13E3",0.310661985903204,28,60,"Navon & Makovski",2021,3
"239","Close","rwDDM z","Pn13E4",0.301200183034945,27,60,"Navon & Makovski",2021,4
"240","Close","rwDDM z","Pn16E1",-0.682911346520472,20,50,"Svensson et al.",2022,1
"241","Close","rwDDM z","Pn16E2",-0.718988536130702,24,100,"Svensson et al.",2022,2
"242","Close","rwDDM z","Pn16E3",-0.320722442339917,24,100,"Svensson et al.",2022,3
"243","Close","rwDDM z","Pn23E1",0.0172206382976785,105,60,"Xu et al.",2021,1
"244","Close","rwDDM z","P95E1",-0.0878418096465266,18,56,"Woźniak et al.",2018,1
"245","Close","rwDDM z","P95E2",-0.0630709113127474,18,60,"Woźniak et al.",2018,2
"246","Close","rwDDM z","Ps3E1",-0.0823841496530912,24,40,"Sui (unpublished)",2014,1
"247","Close","rwDDM z","Ps4E1",-0.308602606381515,20,40,"Sui (unpublished)",2015,1
"248","Close","rwDDM z","Ps4E2",-0.260473861708779,21,40,"Sui (unpublished)",2015,2
"249","Close","rwDDM z","Ps5E1",0.250768620907461,24,60,"Sui et al.",2014,1
"250","Close","rwDDM z","Ps5E2",1.0217962408575,18,60,"Sui et al.",2014,2
"251","Close","rwDDM z","Ps5E3",0.982488807531892,22,60,"Sui et al.",2014,3
"252","Close","rwDDM z","Ps5E4",0.120500440793049,20,60,"Sui et al.",2014,4
"253","Close","rwDDM z","Pt2E1",0.0976889559130401,142,20,"Hobbs et al.",2023,1
"254","Close","rwDDM z","Pt3E1",-0.0346406464395425,108,60,"Liang et al.",2021,1
"255","Close","rwDDM z","Pt9E1",0.093872874528719,18,60,"Woźniak & Knoblich",2022,1
"256","Close","rwDDM z","Pt9E2",-0.566512844444793,18,60,"Woźniak & Knoblich",2022,2
"257","Close","rwDDM z","Pt9E3",0.179141478138669,18,60,"Woźniak & Knoblich",2022,3
"258","Close","rwDDM z","Pt18E1",-0.148960414397024,20,160,"Sui et al.",2023,1
"259","Close","rwDDM z","P19E1",-0.632857409229506,17,60,"Bukowski et al.",2021,1
"260","Close","rwDDM z","P19E2",-0.739539290787442,34,60,"Bukowski et al.",2021,2
"261","Close","rwDDM z","P34E1",0.0855962439243701,29,12,"Kolvoort et al.",2020,1
"262","Close","rwDDM z","Pt27E1",-0.157809899728292,32,40,"Martínez-Pérez et al.",2024,2
"263","Close","rwDDM z","Pt13E1",-0.147443605892543,46,20,"Feldborg et al.",2021,1
"264","Close","rwDDM z","Pt28E1",-0.014415839270827,30,60,"Amodeo et al.",2024,1
